n,token,count,wh
132,accept,6,what
455,accompany,1,what
430,accumulate,1,what
58,accuse,17,who
384,achieve,1,what
21,acquire,44,what
211,act,3,how
44,add,23,what
326,address,1,what
260,adjust,2,what
293,admit,2,what
405,adopt,1,what
110,advise,7,what
179,affirm,4,what
212,afford,3,who
3,agree,172,what
215,aid,3,who
117,aim,7,what
370,allege,1,what
463,allot,1,what
97,allow,9,what
406,amend,1,what
189,anger,3,what
35,announce,28,what
324,answer,1,what
404,anticipate,1,what
52,appear,18,when
490,applaud,1,what
157,apply,4,what
98,appoint,9,who
316,appreciate,1,what
160,approach,4,who
40,approve,25,who
333,aquir,1,what
341,argentina,1,what
133,arrange,6,what
7,ask,64,what
320,assess,1,what
407,assign,1,what
256,assure,2,what
192,attack,3,who
59,attempt,16,what
172,attend,4,what
285,attribute,2,what
220,authorise,3,who
86,authorize,10,what
452,avenge,1,what
318,await,1,what
32,award,32,what
120,back,7,what
184,bag,3,what
426,bar,1,what
507,base,1,what
135,be,6,what
289,beat,2,what
166,become,4,what
372,beef,1,what
26,begin,37,what
92,believe,9,what
358,belong,1,what
415,beomce,1,what
246,bid,2,what
249,blame,2,what
291,blast,2,what
329,blend,1,what
200,block,3,what
512,boost,1,what
491,borrow,1,what
287,breach,2,what
423,break,1,what
108,bring,8,what
107,build,8,what
13,buy,53,what
267,calculate,2,what
53,call,18,what
239,cancele,2,what
229,capture,2,who
181,carry,3,what
339,caution,1,what
185,cease,3,what
218,challenge,3,who
510,change,1,what
63,charge,15,what
386,check,1,what
344,choice,1,what
122,choose,7,what
79,cite,11,what
398,claim,1,what
361,climb,1,what
87,close,10,what
508,collect,1,what
268,commend,2,what
375,comment,1,what
484,commit,1,what
137,complete,5,what
201,comprise,3,what
283,compromise,2,what
374,conclude,1,what
272,conduct,2,what
255,confirm,2,what
352,consent,1,what
36,consider,27,what
379,consist,1,what
468,constitute,1,what
501,construct,1,what
443,consult,1,what
261,contemplate,2,what
10,continue,57,what
223,contract,3,who
281,contribute,2,what
93,control,9,what
177,convince,4,what
322,cost,1,what
429,court,1,what
146,cover,5,what
174,create,4,what
112,criticise,7,who
121,cut,7,what
422,damage,1,what
8,decide,63,what
171,declare,4,what
17,decline,48,what
225,defend,3,who
231,define,2,who
315,dehydrate,1,what
447,delay,1,what
297,deliver,1,what
314,demand,1,what
391,denemour,1,what
473,denounce,1,what
140,deny,5,what
203,describe,3,who
127,design,6,what
312,detail,1,what
164,devalue,4,what
204,develop,3,what
101,dilute,8,what
235,disclose,2,what
325,discontinue,1,what
416,discover,1,what
214,discuss,3,who
462,dismiss,1,what
265,display,2,what
418,disqualify,1,what
441,disrupt,1,what
236,distribute,2,what
500,divest,1,what
85,do,10,what
494,doctor,1,what
420,drain,1,what
238,draw,2,what
292,drop,2,what
387,dump,1,what
30,earn,33,what
143,elect,5,who
366,emphasize,1,what
427,employ,1,what
483,encourage,1,what
9,end,62,what
270,endorse,2,what
353,engage,1,what
485,enjoin,1,what
349,enjoy,1,what
150,enter,5,what
156,entitle,5,what
305,envisage,1,what
328,erode,1,what
273,establish,2,what
103,estimate,8,what
245,exceed,2,what
55,exclude,18,what
